hip;plx;plx_err;ruwe;teff_spec;radius_flame;lum_flame;diam_mas;diam_n
840;17.0711;0.0491;1.081;4818;5.966;16.829;;
841;2.1782;0.1235;1.400;6575;;;;
848;10.7827;0.0191;0.983;6739;1.907;5.595;;
852;2.9817;0.0307;0.998;4250;;;;
855;2.0625;0.0170;0.876;4056;;;;
858;3.0596;0.0224;1.048;4135;38.219;390.080;;
859;6.9889;0.0254;1.012;;1.599;24.065;;
860;2.2665;0.0266;0.871;;;;;
870;17.6296;0.0287;0.844;6518;1.350;2.581;;
873;13.7290;0.0467;1.082;4840;7.506;26.131;;
874;2.7431;0.0225;0.901;;;;;
878;3.9323;0.0379;1.057;4773;;;;
881;5.6940;0.0178;0.985;4811;9.852;65.616;;
882;2.4426;0.0812;1.157;;;;;
892;3.8564;0.0267;0.953;4600;11.631;56.860;;
893;2.4728;0.0537;1.233;4250;;;;
900;3.7063;0.0396;1.359;4767;;;;
902;3.8202;0.0162;1.010;4439;;;;
906;4.5797;0.0285;1.066;4832;13.795;102.278;;
909;3.4859;0.0274;0.923;4549;15.659;89.068;;
910;52.9489;0.0958;1.693;6136;1.637;3.377;;
913;4.1581;0.0194;0.995;4714;9.856;64.158;;
918;6.1449;0.0165;0.973;4790;9.280;39.707;;
919;29.3427;0.0237;1.000;;0.953;0.686;;
926;1.8885;0.0216;0.987;3906;;;;
930;5.7132;0.0814;1.186;4259;;;;
931;10.3446;0.0232;0.942;6207;2.221;5.933;;
938;5.9518;0.0185;1.094;4975;8.192;38.184;;
945;2.4194;0.0300;0.948;;3.778;255.700;;
950;46.0425;0.0961;1.150;6393;1.459;3.190;;
951;0.3284;0.0147;0.895;6537;;;;
954;8.2724;0.0325;1.050;5103;5.047;16.705;;
957;2.9971;0.0265;0.898;;3.716;201.439;;
964;11.0466;0.0274;0.978;;1.507;4.523;;
965;2.7494;0.0141;0.973;4014;;;;
966;7.2178;0.0235;0.967;4670;10.552;52.831;;
967;5.2168;0.0442;1.037;4065;;;;
969;6.5182;0.0241;0.970;4806;10.533;66.698;;
970;1.4429;0.0183;1.202;3796;;;;
