hip;plx;plx_err;ruwe;teff_spec;radius_flame;lum_flame;diam_mas;diam_n
55126;12.2537;0.0226;1.107;;2.087;9.653;;
55130;13.5568;0.0328;0.778;;1.740;14.877;;
55133;9.3823;0.0298;1.026;;1.896;38.853;;
55137;9.9328;0.1346;1.952;3920;;;3.058;1
55140;2.1453;0.0477;0.840;;;;;
55141;3.9398;0.0199;0.901;4699;11.313;53.455;;
55144;4.4474;0.0407;2.252;4816;9.200;46.511;;
55148;6.7861;0.0184;0.996;4765;9.896;52.557;;
55149;;;;;;;;
55153;1.6967;0.0236;1.057;;;;;
55163;4.8385;0.0172;0.984;4803;9.553;49.599;;
55165;24.6739;0.0229;0.964;6219;1.396;2.487;;
55167;5.3431;0.0285;1.061;4398;10.817;42.539;;
55171;3.9034;0.0219;1.000;4724;10.429;54.905;;
55173;3.9097;0.0921;1.205;4250;123.423;2091.221;;
55175;3.6532;0.0419;1.190;;;;;
55179;5.3805;0.0168;0.965;4699;10.594;58.114;;
55181;;;;;;;;
55188;7.2880;0.0185;0.855;;1.586;19.675;;
55193;7.4292;0.0265;1.134;4961;;;;
55201;5.0473;0.0207;0.965;4647;11.541;53.002;;
55202;1.6633;0.0152;0.929;4674;;;;
55208;6.6460;0.0218;0.864;;;;;
55209;7.2098;0.0557;0.911;8426;2.528;38.590;;
55210;45.1803;0.0240;0.963;5358;0.854;0.542;;
55218;5.7262;0.0198;1.000;4733;10.668;58.316;;
55219;7.9823;0.4825;2.258;;;;4.660;2
55222;0.4280;0.0174;0.872;8232;;;;
55223;3.6209;0.0187;1.048;4595;;;;
55228;5.2461;0.0230;1.084;4459;16.034;129.621;;
55237;16.2803;0.0164;0.920;6213;1.396;2.499;;
55238;3.1796;0.0764;1.047;4250;;;;
55246;11.8355;0.0281;0.907;;1.527;5.072;;
55247;6.1654;0.0425;1.162;;;;;
55249;11.5940;0.0378;0.887;4709;;;;
55256;7.0893;0.0160;0.997;4596;9.843;38.850;;
55257;2.2029;0.0169;1.052;3866;62.794;1779.812;;
55258;10.8033;0.0398;1.343;;;;;
55262;21.1735;0.0249;1.002;6088;1.371;2.566;;
55267;1.6492;0.0179;1.027;4205;34.228;495.142;;
55271;7.2017;0.0200;0.929;;2.481;18.418;;
55277;4.2346;0.0216;0.959;4749;12.315;70.032;;
55279;3.5457;0.0213;1.008;4876;;;;
55280;26.7131;0.0227;0.889;6384;1.808;4.689;;
55282;17.0170;0.1617;2.865;;;;3.667;1
55283;1.9967;0.0352;1.037;4250;;;;
55288;20.3093;0.0241;0.969;6511;1.505;2.935;;
55292;3.2029;0.0374;0.933;8000;2.387;113.163;;
55293;5.6000;0.0208;1.087;5012;8.054;42.820;;
55302;6.2048;0.0241;0.981;4719;;;;
55303;3.8305;0.0198;1.137;4340;;;;
55305;1.4362;0.0181;0.990;4037;57.772;1154.478;;
55308;5.8372;0.3509;12.289;;3.246;111.871;;
55316;17.1819;0.0237;0.961;;1.470;3.646;;
55319;6.8394;0.0168;1.025;4459;;;;
55322;7.6707;0.0248;0.959;6954;1.745;5.589;;
55328;8.1740;0.0236;0.971;4585;;;;
55331;3.6480;0.0353;1.224;4606;;;;
55332;6.7206;0.0535;1.731;;2.530;105.879;;
55336;1.0793;0.0380;1.062;;7.275;2416.142;;
55350;4.0254;0.0275;1.013;;4.091;723.609;;
55356;2.6265;0.0296;1.263;;;;;
55361;1.7400;0.0181;0.921;4016;;;;
55362;2.9303;0.0224;1.039;3908;;;;
55363;28.8581;0.0624;1.085;5819;;;;
55365;2.4579;0.0246;0.998;4296;;;;
55369;4.0239;0.0262;1.012;4877;10.416;58.244;;
55373;0.7355;0.0171;0.933;4696;;;;
55375;2.2006;0.0314;1.356;4031;;;;
55382;7.9156;0.0319;1.016;;1.913;29.119;;
55385;15.5521;0.0228;1.005;6175;1.356;2.221;;
55387;16.4407;0.0210;1.049;;1.608;5.220;;
55388;4.1619;0.0245;0.968;;3.322;89.052;;
55389;7.7833;0.0286;1.001;4672;10.186;52.656;;
55391;10.6518;0.0234;0.886;;2.630;14.540;;
55399;8.5429;0.0214;0.995;;2.359;10.276;;
55400;5.5045;0.0146;0.879;4444;;;;
55405;3.4696;0.0247;1.044;4763;10.967;58.248;;
55409;23.7206;0.0216;0.871;5682;1.031;0.957;;
55415;10.3189;0.0181;1.029;4735;5.979;17.157;;
55416;14.4005;0.0205;0.933;6552;1.427;3.646;;
55418;14.5296;0.0192;0.935;6237;1.622;4.631;;
55420;0.4866;0.0270;1.094;;;;;
55423;10.8844;0.0384;1.121;;2.447;9.442;;
55434;13.5551;0.2814;2.378;;3.801;142.452;0.468;1
55436;7.7690;0.0243;0.963;;2.481;15.691;;
55437;10.7880;0.0234;0.896;6766;1.802;7.207;;
55443;6.2213;0.0418;0.976;;2.466;18.535;;
55455;20.5590;0.0284;1.094;6134;1.842;4.121;;
55459;24.3841;0.0199;0.967;5823;1.132;1.234;;
55464;14.8095;0.0249;0.980;6272;1.402;2.610;;
55466;5.3929;0.0148;0.929;4559;;;;
55469;18.2587;0.0230;0.869;6346;1.219;1.948;;
55470;7.1141;0.0231;0.957;6061;4.102;21.313;;
55479;3.7716;0.0182;1.024;4786;10.718;54.744;;
55482;4.6581;0.0192;0.918;5550;5.857;33.406;;
55485;11.7409;0.0242;0.906;;1.841;36.136;;
55486;30.9472;0.0315;1.079;5266;0.956;0.618;;
55488;13.7315;0.0515;1.325;7686;1.941;8.848;;
55492;2.6891;0.0289;1.396;4298;22.249;239.708;;
55497;13.3992;0.0202;0.824;;1.865;11.991;;
55500;3.6955;0.0221;0.887;4744;9.987;60.635;;
55503;3.9533;0.0262;0.896;4884;8.677;43.631;;
55517;2.5153;0.0159;0.904;4108;37.852;511.577;;
55518;6.2113;0.0170;0.898;4828;10.334;73.259;;
55519;4.7771;0.0230;1.031;4612;;;;
55520;11.7605;0.0396;1.502;6334;1.697;4.068;;
55526;4.7096;0.0286;0.863;;;;;
55528;8.9509;0.0448;1.764;4994;8.798;48.206;;
55531;7.4593;0.0308;0.850;;2.413;24.607;;
55533;5.5068;0.0223;1.062;4686;11.361;58.338;;
55537;1.5364;0.0207;0.936;;;;;
55549;10.6256;0.0220;0.964;6021;3.385;16.959;;
55552;1.4926;0.0228;1.309;3798;;;;
55560;5.8813;0.0930;0.868;4787;;;;
55561;16.0508;0.0178;1.052;6491;1.532;3.367;;
55563;6.5620;0.0264;1.152;7126;2.988;19.435;;
55564;11.8428;0.0362;1.043;;2.073;36.571;;
55566;1.8003;0.0347;0.983;;4.100;457.246;;
55570;9.0657;0.0312;0.942;;1.682;10.139;;
55576;4.4466;0.0308;1.021;;;;;
55581;4.6206;0.0367;0.834;;;;;
55589;5.2590;0.0230;1.032;5113;10.525;65.141;;
55593;7.7409;0.0185;0.900;;2.138;8.861;;
55594;4.5320;0.0181;0.923;4459;;;;
55595;4.1685;0.0660;0.972;4104;42.257;449.287;;
55596;6.2385;0.0245;0.929;5065;7.816;39.473;;
55597;7.2023;0.0979;1.065;;3.043;273.567;;
55600;3.2706;0.0249;0.945;4598;13.317;69.543;;
55607;3.9667;0.0251;1.047;4749;10.389;63.982;;
55614;6.3927;0.0385;1.023;;2.478;24.701;;
55629;4.2242;0.0270;0.930;;;;;
55630;9.8396;0.0192;0.954;6596;1.824;5.570;;
55641;6.7432;0.0291;1.072;;3.280;29.368;;
55645;5.4474;0.0223;1.026;4002;;;;
55650;8.7638;0.0554;0.790;4952;12.859;99.158;;
55657;4.1958;0.0716;1.260;;5.928;1284.212;;
55667;2.0636;0.0581;1.120;;5.909;2790.875;;
55670;3.2095;0.0206;1.000;4040;;;;
55673;4.3689;0.0246;1.178;4793;10.448;62.515;;
55674;13.1506;0.0222;0.937;5991;1.983;4.488;;
55677;10.7931;0.0276;0.967;6430;1.683;3.837;;
55679;6.5486;0.0270;1.001;;1.807;18.430;;
55682;2.1183;0.0212;0.997;3905;;;;
55689;2.0770;0.0199;0.991;3817;46.951;1899.434;;
55697;4.2505;0.0184;0.990;4921;8.550;42.947;;
55699;4.1630;0.0285;1.065;4982;9.289;57.326;;
55700;12.3555;0.0233;0.908;;1.526;5.813;;
55702;;;;;;;;
55705;37.7065;0.1972;2.292;;;;;
55707;0.4222;0.0157;0.858;7341;;;;
55708;4.9131;0.0272;1.006;4908;7.970;36.976;;
55712;1.8238;0.0382;1.099;8758;;;;
55716;6.5541;0.0910;1.013;4135;26.956;198.716;;
55733;3.1954;0.0221;1.022;4157;;;;
55735;15.5121;0.0169;0.926;;1.715;6.055;;
55740;9.0235;0.0268;1.000;;2.391;15.115;;
55741;7.2646;0.0348;1.170;6479;2.695;12.710;;
55751;14.7524;0.0688;2.584;6546;1.513;3.567;;
55756;12.4363;0.0710;0.957;4851;10.164;59.614;;
55760;4.9868;0.0233;1.039;;2.681;21.270;;
55761;24.5065;0.0318;0.949;5622;0.985;1.043;;
55763;7.3549;0.0996;1.285;4250;;;;
55765;21.3634;0.0708;1.000;;;;;
55769;10.2903;0.0359;1.145;;2.206;15.354;;
55774;8.8066;0.0407;0.985;;1.726;7.102;;
55776;6.5171;0.0184;1.033;4880;8.287;39.656;;
55777;3.4121;0.0231;1.081;4114;;;;
55779;35.8924;0.0830;1.039;;1.987;5.481;;
55780;6.2824;0.0184;0.961;5991;3.908;20.426;;
55781;9.6385;0.0404;1.269;7133;1.895;10.231;;
55784;2.4119;0.0196;1.038;4009;;;;
55795;2.1490;0.0427;1.139;3732;;;;
55796;8.3915;0.0182;0.942;6435;2.978;14.167;;
55797;9.1833;0.0333;0.949;4790;11.490;67.067;;
55801;1.4440;0.0249;0.956;;;;;
55802;10.4076;0.0263;0.931;;;;;
55808;12.6495;0.0472;1.156;6640;1.596;5.535;;
55815;5.6874;0.0237;0.957;4348;;;;
55816;3.2312;0.0259;1.049;4118;38.696;395.415;;
55821;17.9251;0.0270;1.014;6364;2.295;7.605;;
55823;21.6516;0.0289;1.026;5749;1.063;1.197;;
55830;5.4180;0.0392;1.055;;2.668;74.032;;
55831;2.2216;0.0652;0.758;;;;;
55841;2.6869;0.0474;1.539;8248;3.901;100.000;;
55846;55.0090;0.0240;1.037;5454;0.999;0.745;;
55848;55.0618;0.0304;0.979;4925;;;;
55849;;;;5798;;;;
55854;5.0479;0.0187;0.907;;2.298;49.382;;
55861;10.6004;0.0248;0.843;;1.683;6.266;;
55863;0.4635;0.0256;0.788;4250;;;;
55865;6.3758;0.0184;0.964;4497;;;;
55868;30.7883;0.0294;1.151;5785;0.975;0.847;;
55869;5.5374;0.0167;0.991;4674;;;;
55873;9.1036;0.0248;0.886;;1.927;7.915;;
55874;14.2499;0.0320;0.785;6136;3.435;16.787;;
55877;4.7754;0.0217;1.043;4679;10.990;69.809;;
55882;3.7508;0.0177;0.991;4753;10.707;71.670;;
55888;4.8872;0.0174;0.974;4766;10.985;72.567;;
55892;1.8545;0.0234;1.019;3960;;;;
55894;3.9098;0.0204;1.028;4898;11.398;67.554;;
55898;3.0895;0.0196;0.829;4468;17.367;161.341;;
55906;3.9748;0.0233;0.988;4841;11.392;79.311;;
55907;7.2312;0.0231;1.020;4805;7.538;33.319;;
55912;6.6315;0.0204;0.915;4730;10.983;54.401;;
55917;14.1780;0.0238;1.006;6151;1.492;2.825;;
55928;1.1564;0.0644;3.172;4096;;;;
55930;11.7446;0.0414;2.324;6044;2.511;7.340;;
55936;3.0580;0.1062;1.062;4250;;;;
55938;1.3595;0.0345;0.989;;;;;
55944;12.0839;0.0253;0.992;7016;2.061;9.466;;
55945;6.1072;0.3156;1.785;4821;;;;
55946;2.4336;0.0168;0.883;4549;18.796;171.058;;
55950;5.0759;0.0215;1.036;4617;13.514;76.141;;
55956;2.0059;0.0206;0.881;;5.345;657.715;;
55958;2.7181;0.0255;0.931;3879;56.839;1563.611;;
55972;7.9686;0.0214;0.956;;1.552;28.268;;
55975;4.0869;0.0184;0.959;4966;9.539;49.753;;
55979;;;;;;;;
55980;15.9469;0.0154;0.905;;1.398;3.003;;
55981;4.0576;0.0227;0.924;4201;22.127;155.912;;
55986;0.5447;0.0223;0.930;;;;;
55993;6.0462;0.0271;0.964;;2.543;21.827;;
55994;7.0094;0.0275;1.055;4823;6.239;19.244;;
56002;3.9117;0.0201;0.833;4809;10.529;68.743;;
56004;15.6719;0.0595;1.806;5774;;;;
56005;7.4861;0.0211;0.959;;;;;
56010;6.8305;0.0169;0.841;5320;5.462;22.763;;
56011;2.8646;0.0252;0.988;4383;19.200;173.745;;
56015;3.8942;0.0275;1.138;4811;10.156;53.769;;
56016;2.9660;0.0245;1.113;4188;24.703;173.742;;
56018;5.6463;0.0196;0.851;4384;;;;
56019;2.1476;0.0298;1.218;3812;;;;
56024;3.3440;0.0171;0.982;4405;;;;
56026;3.9807;0.0284;0.945;4481;;;;
56031;14.5719;0.0206;1.020;6465;1.451;3.135;;
56033;0.4469;0.0195;0.889;;;;;
56034;15.2369;0.1070;0.928;;2.036;29.546;;
56035;29.7561;0.0324;0.897;6601;1.597;4.427;;
56043;2.5250;0.0280;0.892;4780;;;;
56049;17.6734;0.0251;0.960;6261;1.483;2.734;;
56050;0.3953;0.0185;0.905;;;;;
56054;15.0500;0.0330;0.999;6295;1.917;4.825;;
56057;0.5512;0.0252;0.949;;;;;
56061;3.9172;0.0321;1.200;4251;24.112;207.605;;
56063;5.8013;0.0183;0.977;;3.340;24.393;;
56073;4.4500;0.0286;1.050;4730;10.676;69.649;;
56076;5.1885;0.0216;0.933;4278;19.697;152.796;;
56077;8.1826;0.0327;1.007;;2.529;15.051;;
56078;8.6451;0.0395;0.754;;3.062;54.906;;
56079;10.5699;0.0316;1.026;6235;3.474;15.281;;
56080;7.0280;0.0570;0.978;4204;;;;
56083;14.4017;0.0238;0.941;;;;;
56084;5.9585;0.0297;0.936;;3.315;15.112;;
56085;4.9809;0.0211;0.926;5734;6.797;48.595;;
56089;16.2203;0.0171;0.924;6710;1.476;3.542;;
56091;9.8695;0.0368;0.979;6496;2.037;5.934;;
56095;1.9635;0.0154;0.972;4106;;;;
56097;12.7380;0.0167;0.913;5942;1.923;3.784;;
56100;1.7782;0.0288;1.199;4250;;;;
56103;2.4939;0.0206;1.023;4307;;;;
56104;2.4960;0.0185;1.037;3982;;;;
56106;3.9688;0.0299;1.006;4649;10.662;63.140;;
56109;14.7836;0.0295;0.955;;1.937;6.246;;
56111;2.4422;0.1147;4.885;4244;27.283;293.229;;
56121;6.3327;0.0266;1.032;4445;;;;
56127;6.5892;0.1128;1.028;3976;47.703;771.566;3.210;3
56129;4.3156;0.0177;0.900;4811;10.582;63.831;;
56130;4.3324;0.0186;0.881;4784;16.355;142.038;;
56137;1.0984;0.0146;0.827;4174;;;;
56145;22.0404;0.0269;0.904;4904;3.034;4.647;;
56146;9.4403;0.0966;1.317;4668;;;;
56147;5.0329;0.0324;0.977;;2.082;54.959;;
56148;19.3796;0.0386;0.930;5988;2.802;9.332;;
56154;16.1379;0.0290;1.048;;1.556;4.655;;
56156;0.4676;0.0200;0.911;8411;;;;
56162;1.5045;0.0163;0.885;4668;;;;
56166;8.6324;0.0485;1.879;5983;2.775;10.516;;
56167;;;;;;;;
56168;3.6579;0.0208;0.963;5020;;;;
56178;3.7231;0.1090;3.335;3790;60.662;585.915;;
56179;14.5376;0.0231;0.922;6498;1.372;2.812;;
56180;2.2509;0.0366;1.046;;;;;
56185;11.3581;0.0390;1.091;5754;2.095;4.185;;
56186;23.1505;0.0255;1.009;6160;1.281;2.158;;
56189;2.1700;0.0218;1.210;4126;39.634;517.686;;
56190;2.2832;0.0183;0.998;4163;;;;
56193;3.4603;0.0172;0.919;4928;;;;
56194;5.9683;0.0214;0.896;4958;10.728;66.724;;
56202;4.1763;0.0192;1.000;;;;;
56207;6.8461;0.0271;1.116;;1.951;12.177;;
56209;13.4089;0.0305;1.091;;1.471;4.573;;
56211;8.6458;0.1446;2.478;;;;6.403;2
56214;4.2971;0.0238;1.077;;2.539;47.134;;
56216;2.3588;0.0195;1.070;3917;;;;
56220;3.8826;0.0278;1.077;;2.802;63.905;;
56228;2.8049;0.0186;1.064;3993;;;;
56242;42.6536;0.0726;1.049;6020;1.140;1.435;;
56243;0.3254;0.0734;0.765;;;;;
56245;25.5237;0.0237;0.982;6221;1.806;4.005;;
56246;2.4492;0.1019;5.079;;7.933;1121.575;;
56247;0.4512;0.0272;0.922;8256;;;;
56249;1.9057;0.0248;0.879;;;;;
56250;0.4665;0.0713;0.777;6991;;;;
56253;16.5175;0.0212;0.854;7509;1.879;10.123;;
56255;2.8624;0.0356;1.413;4154;;;;
56257;28.7035;0.1048;5.486;5942;1.117;1.208;;
56260;15.1997;0.0227;1.127;4808;;;;
56263;4.0922;0.0388;1.012;;2.837;81.185;;
56265;3.2084;0.0199;0.982;4530;;;;
56267;1.6465;0.0348;0.873;4250;;;;
56274;;;;4929;;;;
56275;8.6098;0.0480;1.241;7202;1.787;7.317;;
56279;5.4842;0.0209;0.953;4259;;;;
56280;35.6037;0.0547;0.938;6140;1.747;3.608;;
56281;0.8671;0.0265;0.870;;;;;
56287;9.8731;0.0287;0.922;4576;10.386;54.352;;
56289;16.6268;0.0174;0.996;6304;1.466;3.000;;
56293;3.7481;0.0635;1.033;3773;;;;
56295;2.5828;0.0270;1.020;4359;19.579;179.348;;
56296;13.3549;0.0353;1.058;;1.483;3.463;;
56300;2.0370;0.0218;0.907;3755;;;;
56304;4.5004;0.0317;1.036;;;;;
56318;5.7842;0.0395;0.846;4247;25.790;239.131;;
56319;5.6972;0.0738;1.084;3887;;;;
56321;21.5223;0.0284;1.261;6241;1.279;2.212;;
56324;5.6231;0.0288;0.963;;2.001;28.089;;
56326;25.8481;0.0210;0.962;6068;1.574;2.640;;
56329;2.3230;0.0338;1.252;7600;3.617;144.296;;
56332;7.7972;0.1160;1.083;3912;;;;
56339;5.2409;0.0320;0.953;;;;;
56340;5.2875;0.0142;0.937;4903;9.197;48.491;;
56343;24.9632;0.1661;2.729;;;;2.394;1
56346;2.8342;0.0247;1.042;4295;25.755;276.665;;
56352;6.9444;0.0267;0.998;4978;5.067;16.351;;
56353;1.5361;0.0192;1.043;3730;;;;
56354;9.6355;0.0225;1.081;;1.685;6.740;;
56363;30.5093;0.0155;0.960;5371;1.034;0.775;;
56371;3.0596;0.0222;0.947;4543;19.292;198.086;;
56379;9.2494;0.0375;1.298;;1.748;39.664;;
56387;3.6530;0.0167;1.014;4521;13.185;64.402;;
56388;2.7870;0.0395;1.266;3834;;;;
56392;4.2988;0.0347;1.048;4681;;;;
56393;3.1144;0.0259;0.921;;;;;
56410;7.6582;0.0281;0.948;4613;10.671;59.347;;
56411;4.4689;0.0475;1.038;4551;;;;
56418;3.1977;0.0232;1.079;4072;;;;
56423;23.5670;0.0180;1.059;5986;1.243;1.845;;
56424;8.3590;0.0198;0.958;6232;2.489;7.566;;
56442;1.8037;0.0161;0.920;4411;;;;
56443;3.0344;0.0175;0.952;4324;;;;
56444;11.0160;0.0284;1.056;;2.362;12.471;;
56445;37.1803;0.0513;0.946;6524;;;;
56452;104.6133;0.0277;0.756;5111;0.761;0.362;;
56454;8.5588;0.0218;0.958;6520;2.337;9.419;;
56465;3.3386;0.0164;0.939;4407;19.087;161.540;;
56473;3.2344;0.0826;1.099;;3.678;1086.622;;
56474;4.0147;0.0189;0.980;4647;;;;
56479;3.5494;0.0362;0.865;;2.817;52.510;;
56480;8.1091;0.1342;1.793;;4.794;242.457;;
56482;4.1475;0.0252;1.098;4668;;;;
56492;2.0271;0.0183;0.945;3916;;;;
56493;1.8358;0.0349;1.123;3850;;;;
56494;4.9755;0.0249;1.114;4639;11.206;64.219;;
56497;16.5743;0.0559;1.080;4718;;;;
56500;6.3274;0.0254;0.979;4592;;;;
56503;4.9488;0.0247;0.989;4714;;;;
56504;5.7282;0.0323;1.328;4690;9.961;50.928;;
56506;3.6824;0.0155;0.967;4353;21.945;224.408;;
56507;4.0351;0.0158;0.934;4957;;;;
56508;7.2345;0.0294;1.180;4786;;;;
56515;2.9463;0.0614;1.734;5576;;;;
56518;5.4536;0.0808;1.284;4250;;;;
56519;18.3542;0.0175;0.799;;1.680;5.658;;
56520;5.6083;0.0359;1.215;;3.023;65.411;;
56535;6.6848;0.0223;0.883;4715;10.781;58.993;;
56538;3.7868;0.0212;1.224;4245;19.319;106.861;;
56548;5.7107;0.0234;0.910;4500;10.985;49.634;;
56550;0.4561;0.0450;1.353;7063;;;;
56553;8.8190;0.0257;0.847;;2.267;58.966;;
56556;0.4375;0.0173;0.791;4250;;;;
56558;7.6211;0.0154;0.870;4535;11.779;51.393;;
56573;17.1828;0.0741;1.185;;2.785;21.149;;
56577;4.1167;0.0188;0.987;;;;;
56583;12.3977;0.0635;1.108;4788;10.821;60.570;;
56588;4.1112;0.0161;0.981;4761;;;;
56598;5.1761;0.0248;1.003;4819;9.457;65.981;;
56599;7.7281;0.0187;0.934;6383;2.518;9.460;;
56601;;;;;;;;
56606;1.8626;0.0376;0.690;8000;;;;
56607;3.7100;0.0172;0.935;4740;10.237;53.782;;
56612;0.4618;0.0195;0.838;;;;;
56614;12.7884;0.0330;1.289;;2.551;7.441;;
56617;2.3772;0.0360;1.160;;;;;
56618;6.3629;0.0259;1.081;4753;;;;
56619;0.4961;0.0167;0.965;;;;;
56620;8.7176;0.0343;0.877;4767;11.491;72.195;;
56621;12.9621;0.0239;0.860;;1.751;8.866;;
56622;21.1416;0.0165;0.985;5907;1.269;1.556;;
56623;14.7304;0.0202;0.970;6084;1.743;3.763;;
56624;8.1674;0.0359;1.132;3153;2.061;7.560;;
56625;7.4157;0.0196;0.902;;2.194;10.645;;
56633;10.8503;0.1871;1.233;;3.541;134.005;;
56639;3.9280;0.0244;0.974;4080;;;;
56640;8.2230;0.0196;0.916;4775;5.081;11.483;;
56647;18.3461;0.1400;2.353;4820;;;2.900;1
56649;6.7973;0.0287;0.878;;;;;
56654;5.1067;0.0248;1.009;4250;20.415;210.936;;
56656;13.8365;0.0605;0.655;4617;;;;
56665;3.5773;0.0214;1.032;4813;10.192;60.770;;
56666;15.0857;0.0161;0.996;;1.545;4.258;;
56672;4.0375;0.0290;1.063;4625;;;;
56676;3.7107;0.0299;0.877;4585;13.838;72.310;;
56679;6.2106;0.1396;4.486;;;;;
56683;5.5948;0.0191;1.036;4612;;;;
56686;2.3209;0.0208;1.091;4250;;;;
56688;4.4902;0.0192;1.132;4459;;;;
56694;14.8668;0.0200;0.874;6323;1.592;3.594;;
56696;8.7076;0.0216;1.056;6780;1.911;8.110;;
56698;2.9563;0.0761;1.139;4250;;;;
56699;4.1915;0.0215;0.953;4643;10.024;48.836;;
56702;5.4731;0.0851;1.006;;;;;
56706;10.5021;0.0189;0.933;;2.042;7.612;;
56708;5.8956;0.0301;0.917;;2.713;49.989;;
56710;12.9258;0.0179;0.898;6379;1.803;6.147;;
56711;1.5318;0.0271;1.019;;;;;
56716;2.7305;0.0250;1.137;3837;;;;
56721;10.0529;0.0242;0.926;5050;4.722;24.092;;
56725;15.2699;0.0176;0.936;6265;1.525;2.465;;
56726;0.3790;0.0685;2.567;;;;;
56727;9.0128;0.0248;0.912;4791;10.814;56.421;;
56733;1.7284;0.0218;0.945;3870;;;;
56738;24.5067;0.0268;1.037;5993;1.070;1.260;;
56739;4.2099;0.0248;1.040;4129;19.737;141.014;;
56740;12.9328;0.0176;0.954;4878;3.084;4.697;;
56743;1.2847;0.0702;3.325;;;;;
56746;7.0848;0.0292;0.976;8356;;;;
56750;11.0050;0.0241;1.134;5907;2.408;9.698;;
56756;8.4153;0.0321;1.067;4688;11.134;53.118;;
56757;0.4153;0.0247;0.927;;;;;
56759;5.2117;0.0183;0.916;;3.997;41.158;;
56762;5.6814;0.0191;0.934;4594;9.811;35.691;;
56769;;;;;;;;
56770;20.5974;0.2478;5.407;;2.413;11.576;;
56771;0.4729;0.0160;0.938;4250;;;;
56772;7.1430;0.0262;0.814;;;;;
56773;4.0685;0.0341;1.199;8341;2.716;41.005;;
56775;8.3853;0.0317;0.822;4580;;;;
56779;5.5646;0.3052;1.754;;;;6.760;1
56784;4.2038;0.0342;1.323;4271;29.271;271.275;;
56797;11.1732;0.0191;0.967;;1.474;26.508;;
56802;37.2450;0.0730;1.130;6198;1.817;3.963;;
56806;4.0645;0.0248;1.130;4752;;;;
56809;42.9391;0.0231;0.939;5902;1.076;1.208;;
56813;5.7685;0.0167;0.869;4836;9.757;66.822;;
56814;6.7683;0.0178;1.011;4369;;;;
56816;4.2073;0.0188;0.763;;4.460;178.904;;
56818;2.5339;0.0233;1.013;3795;;;;
56823;6.0449;0.0275;0.760;7250;1.946;18.398;;
56827;12.6051;0.0255;1.004;;1.429;3.041;;
56830;14.7658;0.0238;0.966;;;;;
56832;28.9109;0.0283;1.266;5767;1.008;0.922;;
56835;2.7250;0.0253;1.122;4250;;;;
56839;1.0022;0.0143;0.879;5047;;;;
56841;2.2629;0.0244;0.887;;;;;
56846;1.2005;0.0316;1.366;3985;;;;
56851;6.8522;0.0209;1.046;;5.992;27.326;;
56852;3.7562;0.0191;0.926;4855;11.593;68.972;;
56853;1.4297;0.0225;1.287;3957;73.966;1705.818;;
56860;14.1460;0.0307;1.085;6011;1.708;3.081;;
56863;11.7754;0.0234;0.910;5901;1.475;3.425;;
56864;10.4377;0.0234;0.965;4798;6.379;19.220;;
56875;5.8434;0.0360;1.062;;;;;
56883;4.1886;0.0264;0.988;4757;11.870;74.255;;
56888;1.9086;0.0182;0.966;;;;;
56893;7.2273;0.0225;0.963;;1.873;11.843;;
56899;3.6888;0.0677;0.995;4250;;;;
56901;5.9988;0.0417;0.967;;3.468;96.317;;
56902;6.7033;0.0180;0.966;4719;8.046;37.328;;
56904;5.1730;0.0335;1.076;;;;;
56908;7.1351;0.0190;0.930;4629;10.282;43.033;;
56909;6.3785;0.0177;0.856;4851;10.362;62.991;;
56912;8.0439;0.0236;0.949;4972;4.414;10.830;;
56913;5.3446;0.0165;0.884;4995;9.604;49.085;;
56915;2.3252;0.0229;1.004;3859;48.143;1053.823;;
56917;3.6114;0.0206;0.796;;3.659;124.361;;
56920;14.7436;0.0259;1.170;;1.661;6.750;;
56922;7.0864;0.1161;0.691;;;;;
56925;;;;;;;;
56929;5.2376;0.0192;1.064;4416;15.692;106.971;;
56931;2.2482;0.0286;0.801;3797;;;;
56935;12.1483;0.0306;0.954;6641;1.620;4.354;;
56937;3.5691;0.0180;1.103;4540;;;;
56944;6.4834;0.0370;0.932;;2.293;124.150;;
56951;6.4211;0.0285;1.219;6509;3.678;19.465;;
56961;0.2607;0.0279;0.819;;;;;
56963;7.5135;0.0231;0.993;;1.476;20.187;;
56968;9.2474;0.0241;0.932;;1.748;10.077;;
56975;13.6688;0.1216;1.342;4845;;;;
56979;12.1039;0.0195;1.031;;1.477;3.914;;
56980;2.1643;0.0229;1.038;4507;27.038;387.904;;
56982;1.9369;0.0261;0.950;4126;;;;
56985;1.7863;0.0235;1.354;4145;;;;
56986;3.0181;0.0777;1.566;5061;;;;
56988;3.4215;0.0227;0.941;4328;21.633;222.454;;
56992;0.5452;0.0199;1.054;;;;;
56993;5.9732;0.0296;0.980;;1.926;36.969;;
56996;9.1605;0.0172;0.939;4830;9.867;55.248;;
56997;104.4252;0.1005;1.140;5696;0.909;0.631;0.910;1
56998;78.2268;0.0182;0.916;4573;;;;
57003;5.1435;0.0197;0.969;4600;;;;
57005;4.6990;0.0235;0.998;4403;;;;
57006;3.9088;0.0215;1.190;4763;10.829;66.680;;
57013;15.6117;0.0714;0.993;;1.867;23.656;;
57014;5.8855;0.0341;0.916;;1.853;21.252;;
57017;19.8041;0.0180;0.869;6174;1.279;2.120;;
57021;28.8199;0.0185;0.938;;1.356;1.877;;
57027;;;;;;;;
